;A_expect;A_stddevaway;Anew_expect;Anew_stddevaway;E_expect;E_stddevaway;Enew_expect;Enew_stddevaway;N_subsampled;dA_boot;dA_expect;dAnew_boot;dAnew_expect;dE_boot;dE_expect;dEnew_boot;dEnew_expect;mol_name;new_param;obs_type;param_type;percent_shift;smirks
0;[ 1.09302765];[ 0.18275112];[ 1.16453226];[ 4.54836716];[ 12.47910803];[ 0.08027758];[ 9.92920853];[ 0.08440906];[2000];[ 0.00078275];[ 0.00074804];[ 0.02155245];[ 0.01091006];[ 0.0680501];[ 0.06590664];[ 0.05983686];[ 0.05542178];['molecules/AlkEthOH_c1266.mol2'];[[200]];Bond;['k'];67.7419354839;[#6X4:1]-[#1:2]
1;[ 1.09446552];[ 0.01554827];[ 1.16458024];[ 3.54128519];[ 12.41401895];[ 0.1250541];[ 10.18345113];[ 0.1157681];[2000];[ 0.00074817];[ 0.00077033];[ 0.0236382];[ 0.01301033];[ 0.06130848];[ 0.06270241];[ 0.05359943];[ 0.05447133];['molecules/AlkEthOH_c1266.mol2'];[[250]];Bond;['k'];59.6774193548;[#6X4:1]-[#1:2]
2;[ 1.09238709];[ 0.13004356];[ 1.14945693];[ 2.77145176];[ 12.43551148];[ 0.01090983];[ 10.50454512];[ 0.01460979];[2000];[ 0.00065633];[ 0.00075075];[ 0.02115722];[ 0.01727999];[ 0.06135528];[ 0.06699221];[ 0.05596183];[ 0.05835593];['molecules/AlkEthOH_c1266.mol2'];[[300]];Bond;['k'];51.6129032258;[#6X4:1]-[#1:2]
3;[ 1.09176264];[ 0.18236635];[ 1.10870578];[ 8.58648856];[ 12.39525052];[ 0.07597687];[ 10.76769691];[ 0.04747552];[2000];[ 0.00072112];[ 0.00076596];[ 0.02207142];[ 0.00462007];[ 0.05999903];[ 0.0644147];[ 0.05070324];[ 0.05746598];['molecules/AlkEthOH_c1266.mol2'];[[350]];Bond;['k'];43.5483870968;[#6X4:1]-[#1:2]
4;[ 1.09289439];[ 0.01995724];[ 1.13890634];[ 2.22205661];[ 12.44007679];[ 0.00925737];[ 11.1153601];[ 0.02533531];[2000];[ 0.00075916];[ 0.00076249];[ 0.021467];[ 0.01879465];[ 0.06337015];[ 0.06703562];[ 0.05708223];[ 0.06055712];['molecules/AlkEthOH_c1266.mol2'];[[400]];Bond;['k'];35.4838709677;[#6X4:1]-[#1:2]
5;[ 1.09192957];[ 0.13278917];[ 1.128297];[ 1.80738067];[ 12.39669985];[ 0.05018467];[ 11.36517785];[ 0.06983516];[2000];[ 0.00078126];[ 0.00075421];[ 0.01912263];[ 0.02097972];[ 0.07294507];[ 0.06636191];[ 0.06761249];[ 0.06094625];['molecules/AlkEthOH_c1266.mol2'];[[450]];Bond;['k'];27.4193548387;[#6X4:1]-[#1:2]
6;[ 1.09301943];[ 0.05973712];[ 1.13247883];[ 1.90864787];[ 12.40746277];[ 0.05849828];[ 11.68449869];[ 0.04719655];[2000];[ 0.0007436];[ 0.00075997];[ 0.01736547];[ 0.01644288];[ 0.06107328];[ 0.06673586];[ 0.05773128];[ 0.0629332];['molecules/AlkEthOH_c1266.mol2'];[[500]];Bond;['k'];19.3548387097;[#6X4:1]-[#1:2]
7;[ 1.09246414];[ 0.13033494];[ 1.10389];[ 5.61152013];[ 12.36599612];[ 0.13111531];[ 11.94560869];[ 0.12567667];[2000];[ 0.00076764];[ 0.00074724];[ 0.01377143];[ 0.00440629];[ 0.06288243];[ 0.06441299];[ 0.06034204];[ 0.062261];['molecules/AlkEthOH_c1266.mol2'];[[550]];Bond;['k'];11.2903225806;[#6X4:1]-[#1:2]
8;[ 1.09361878];[ 0.10763309];[ 1.10751975];[ 4.21460056];[ 12.43514996];[ 0.08900409];[ 12.31469177];[ 0.08735687];[2000];[ 0.00074675];[ 0.00074857];[ 0.01223878];[ 0.00557581];[ 0.06424724];[ 0.06473537];[ 0.06369437];[ 0.06408279];['molecules/AlkEthOH_c1266.mol2'];[[600]];Bond;['k'];3.22580645161;[#6X4:1]-[#1:2]
9;[ 1.09335389];[ 0.10966319];[ 1.12261561];[ 2.36919901];[ 12.43993811];[ 0.08251814];[ 12.62096804];[ 0.08355174];[2000];[ 0.00075065];[ 0.00073416];[ 0.01056703];[ 0.01007138];[ 0.07016001];[ 0.0672913];[ 0.07111244];[ 0.06834253];['molecules/AlkEthOH_c1266.mol2'];[[650]];Bond;['k'];-4.83870967742;[#6X4:1]-[#1:2]
10;[ 1.09285704];[ 0.14792853];[ 1.11772311];[ 2.42282649];[ 12.34663309];[ 0.1718264];[ 12.82307808];[ 0.1653891];[2000];[ 0.00077625];[ 0.00074904];[ 0.00748904];[ 0.00780691];[ 0.06372971];[ 0.06452771];[ 0.06618451];[ 0.06704542];['molecules/AlkEthOH_c1266.mol2'];[[700]];Bond;['k'];-12.9032258065;[#6X4:1]-[#1:2]
11;[ 1.0929011];[ 0.16362114];[ 1.10815514];[ 2.59617551];[ 12.49008708];[ 0.02017375];[ 13.27126596];[ 0.01867242];[2000];[ 0.00078741];[ 0.00075245];[ 0.00623582];[ 0.00705967];[ 0.07051277];[ 0.0653987];[ 0.07513551];[ 0.06983166];['molecules/AlkEthOH_c1266.mol2'];[[750]];Bond;['k'];-20.9677419355;[#6X4:1]-[#1:2]
12;[ 1.09280129];[ 0.0056487];[ 1.10918648];[ 3.20670617];[ 12.58223082];[ 0.02454373];[ 13.6645593];[ 0.01602495];[2000];[ 0.00084199];[ 0.00074985];[ 0.0061459];[ 0.00555951];[ 0.05771377];[ 0.06543584];[ 0.06284621];[ 0.07154664];['molecules/AlkEthOH_c1266.mol2'];[[800]];Bond;['k'];-29.0322580645;[#6X4:1]-[#1:2]
13;[ 1.09306549];[ 0.02407153];[ 1.11446007];[ 2.58834056];[ 12.46443905];[ 0.03910983];[ 13.8458894];[ 0.026825];[2000];[ 0.00076901];[ 0.00074999];[ 0.00539249];[ 0.00603085];[ 0.07212683];[ 0.06705983];[ 0.08242632];[ 0.07511276];['molecules/AlkEthOH_c1266.mol2'];[[850]];Bond;['k'];-37.0967741935;[#6X4:1]-[#1:2]
14;[ 1.09347398];[ 0.0504952];[ 1.09705629];[ 2.33547486];[ 12.46009355];[ 0.04149957];[ 14.15840946];[ 0.00729947];[2000];[ 0.00086813];[ 0.00075237];[ 0.00597238];[ 0.00609202];[ 0.06028531];[ 0.06590162];[ 0.06830762];[ 0.07632729];['molecules/AlkEthOH_c1266.mol2'];[[900]];Bond;['k'];-45.1612903226;[#6X4:1]-[#1:2]
15;[ 1.09289981];[ 0.08060085];[ 1.10587498];[ 2.41647246];[ 12.40297954];[ 0.15074954];[ 14.39673462];[ 0.16007852];[2000];[ 0.0007975];[ 0.00074595];[ 0.005465];[ 0.00558274];[ 0.06436258];[ 0.06537713];[ 0.07638655];[ 0.07792372];['molecules/AlkEthOH_c1266.mol2'];[[950]];Bond;['k'];-53.2258064516;[#6X4:1]-[#1:2]
16;[ 1.09388806];[ 0.02420059];[ 1.10442527];[ 2.27297767];[ 12.48259082];[ 0.01110281];[ 14.78416821];[ 0.04108298];[2000];[ 0.00069125];[ 0.00074975];[ 0.00604559];[ 0.00592458];[ 0.06149802];[ 0.06564727];[ 0.07536853];[ 0.07943931];['molecules/AlkEthOH_c1266.mol2'];[[1000]];Bond;['k'];-61.2903225806;[#6X4:1]-[#1:2]
17;[ 1.09253768];[ 0.01788581];[ 1.09726595];[ 4.28001877];[ 12.42420546];[ 0.03386821];[ 15.00950722];[ 0.02668987];[2000];[ 0.0006351];[ 0.00075023];[ 0.00520478];[ 0.00300939];[ 0.05982232];[ 0.06520366];[ 0.07355238];[ 0.08160885];['molecules/AlkEthOH_c1266.mol2'];[[1050]];Bond;['k'];-69.3548387097;[#6X4:1]-[#1:2]
18;[ 1.09214524];[ 0.1541726];[ 1.10858407];[ 2.50771425];[ 12.44395007];[ 0.05884061];[ 15.32443812];[ 0.05857845];[2000];[ 0.0006881];[ 0.00076843];[ 0.00522454];[ 0.00432078];[ 0.05797179];[ 0.06571662];[ 0.07744018];[ 0.08463144];['molecules/AlkEthOH_c1266.mol2'];[[1100]];Bond;['k'];-77.4193548387;[#6X4:1]-[#1:2]
19;[ 1.09274223];[ 0.03721307];[ 1.10422034];[ 2.36560619];[ 12.43051146];[ 0.06009467];[ 15.59893783];[ 0.04191454];[2000];[ 0.00075256];[ 0.00076019];[ 0.00423798];[ 0.00478985];[ 0.06949405];[ 0.0651114];[ 0.08846984];[ 0.08499246];['molecules/AlkEthOH_c1266.mol2'];[[1150]];Bond;['k'];-85.4838709677;[#6X4:1]-[#1:2]
